time recorded,rocker horizontal,rocker vertical,toggle horizontal,toggle vertical,blu button time depressed,flap,potentiometer lever,potentional knob
0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,39,25,
5,0,0,0,0,0,0,39,25,
5,0,0,0,0,0,0,39,25,
1530844591,0,0,0,0,0,0,39,33,
1530844591,0,0,0,0,0,0,39,33,
1530844597,0,0,0,0,0,0,39,32,
1530844602,0,0,0,0,0,0,39,33,
1530844602,0,0,0,0,0,0,39,33,
1530844608,0,0,0,0,0,0,39,34,
1530844608,0,0,0,0,0,0,39,34,
1530844613,0,0,0,0,0,0,39,25,
1530844613,0,0,0,0,0,0,39,32,
1530844613,0,0,0,0,0,0,39,32,
1530844619,0,0,0,0,0,0,39,34,
1530844619,0,0,0,0,0,0,39,34,
1530844624,0,0,0,0,0,0,39,34,
1530844630,0,0,0,0,0,0,39,34,
1530844630,0,0,0,0,0,0,39,34,
1530844635,0,0,0,0,0,0,39,25,
1530844635,0,0,0,0,0,0,39,25,
1530844640,0,0,0,0,0,0,39,32,
1530844645,0,0,0,0,0,0,39,33,
1530844645,0,0,0,0,0,0,39,33,
1530844652,0,0,0,0,0,0,39,33,
1530844652,0,0,0,0,0,0,39,33,
1530844656,0,0,0,0,0,0,39,33,
1530844661,0,0,0,0,0,0,39,25,
1530844661,0,0,0,0,0,0,39,25,
1530844667,0,0,0,0,0,0,39,32,
1530844667,0,0,0,0,0,0,39,32,
1536052914,0,0,0,0,0,0,39,33,
1536052914,0,0,0,0,0,0,39,33,
1536052914,0,0,0,0,0,0,39,33,
1536052920,0,0,0,0,0,0,39,34,
1536052920,0,0,0,0,0,0,39,34,
1536052925,0,0,0,0,0,0,39,32,
1536052931,0,0,0,0,0,0,39,34,
1536052931,0,0,0,0,0,0,39,34,
1536052936,0,0,0,0,0,0,39,32,
1536052936,0,0,0,0,0,0,39,32,
1536052942,0,0,0,0,0,0,39,34,
1536052947,0,0,0,0,0,0,39,32,
1536052947,0,0,0,0,0,0,39,32,
1536052953,0,0,0,0,0,0,39,33,
1536052953,0,0,0,0,0,0,39,33,
1536052958,0,0,0,0,0,0,39,34,
1536052964,0,0,0,0,0,0,39,34,
1536052964,0,0,0,0,0,0,39,34,
1536052969,0,0,0,0,0,0,39,34,
1536052969,0,0,0,0,0,0,39,34,
1536052969,0,0,0,0,0,0,39,34,
1536052975,0,0,0,0,0,0,39,34,
1536052975,0,0,0,0,0,0,39,34,
1536052980,0,0,0,0,0,0,39,25,
1536052980,0,0,0,0,0,0,39,25,
1536052985,0,0,0,0,0,0,39,32,
1536052991,0,0,0,0,0,0,39,25,
1536052991,0,0,0,0,0,0,39,25,
1536052996,0,0,0,0,0,0,39,33,
1536052996,0,0,0,0,0,0,39,33,
1536053002,0,0,0,0,0,0,39,34,
1536053007,0,0,0,0,0,0,39,33,
1536053007,0,0,0,0,0,0,39,33,
1536053013,0,0,0,0,0,0,39,32,
1536053013,0,0,0,0,0,0,39,32,
1536053018,0,0,0,0,0,0,39,33,
1536053024,0,0,0,0,0,0,39,34,
1536053024,0,0,0,0,0,0,39,34,
1536053029,0,0,0,0,0,0,39,25,
1536053029,0,0,0,0,0,0,39,25,
1536053029,0,0,0,0,0,0,39,32,
1536053034,0,0,0,0,0,0,39,34,
1536053034,0,0,0,0,0,0,39,34,
1536053039,0,0,0,0,0,0,39,33,
1536053039,0,0,0,0,0,0,39,33,
1536053045,0,0,0,0,0,0,39,34,
1536053050,0,0,0,0,0,0,39,32,
1536053050,0,0,0,0,0,0,39,32,
1536053056,0,0,0,0,0,0,39,25,
1536053056,0,0,0,0,0,0,39,25,
1536053061,0,0,0,0,0,0,39,35,
1536053066,0,0,0,0,0,0,39,33,
1536053066,0,0,0,0,0,0,39,33,
1536053072,0,0,0,0,0,0,39,25,
1536053072,0,0,0,0,0,0,39,25,
1536053077,0,0,0,0,0,0,39,25,
1536053083,0,0,0,0,0,0,39,34,
1536053083,0,0,0,0,0,0,39,34,
1536053088,0,0,0,0,0,0,39,33,
1536053088,0,0,0,0,0,0,39,33,
1536053088,0,0,0,0,0,0,39,32,
1536053094,0,0,0,0,0,0,39,25,
1536053094,0,0,0,0,0,0,39,25,
1536053099,0,0,0,0,0,0,39,34,
1536053099,0,0,0,0,0,0,39,34,
1536053105,0,0,0,0,0,0,39,33,
1536053110,0,0,0,0,0,0,39,25,
1536053110,0,0,0,0,0,0,39,25,
1536053116,0,0,0,0,0,0,39,32,
1536053116,0,0,0,0,0,0,39,32,
1536053121,0,0,0,0,0,0,39,34,
1536053127,0,0,0,0,0,0,39,34,
1536053127,0,0,0,0,0,0,39,34,
1536053132,0,0,0,0,0,0,39,34,
1536053132,0,0,0,0,0,0,39,34,
1536053138,0,0,0,0,0,0,39,32,
1536053143,0,0,0,0,0,0,39,25,
1536053143,0,0,0,0,0,0,39,25,
1536053148,0,0,0,0,0,0,39,33,
1536053148,0,0,0,0,0,0,39,33,
1536053148,0,0,0,0,0,0,39,33,
1536053154,0,0,0,0,0,0,39,32,
1536053154,0,0,0,0,0,0,39,32,
1536053159,0,0,0,0,0,0,39,34,
1536053159,0,0,0,0,0,0,39,34,
1536053165,0,0,0,0,0,0,39,34,
1536053170,0,0,0,0,0,0,39,33,
1536053170,0,0,0,0,0,0,39,33,
1536053176,0,0,0,0,0,0,39,33,
1536053176,0,0,0,0,0,0,39,33,
1536053181,0,0,0,0,0,0,39,34,
1536053187,0,0,0,0,0,0,39,32,
1536053187,0,0,0,0,0,0,39,32,
1536053192,0,0,0,0,0,0,39,32,
1536053192,0,0,0,0,0,0,39,32,
1536053198,0,0,0,0,0,0,39,32,
1536053203,0,0,0,0,0,0,38,34,
1536053203,0,0,0,0,0,0,38,34,
1536053203,0,0,0,0,0,0,39,25,
1536053203,0,0,0,0,0,0,39,25,
1536053209,0,0,0,0,0,0,39,34,
1536053209,0,0,0,0,0,0,39,34,
1536053209,0,0,0,0,0,0,39,34,
1536053215,0,0,0,0,0,0,39,33,
1536053215,0,0,0,0,0,0,39,33,
1536053220,0,0,0,0,0,0,39,32,
1536053225,0,0,0,0,0,0,39,25,
1536053225,0,0,0,0,0,0,39,25,
1536053231,0,0,0,0,0,0,39,34,
1536053231,0,0,0,0,0,0,39,34,
1536053236,0,0,0,0,0,0,39,32,
1536053242,0,0,0,0,0,0,39,34,
1536053242,0,0,0,0,0,0,39,34,
1536053247,0,0,0,0,0,0,39,34,
1536053247,0,0,0,0,0,0,39,34,
1536053253,0,0,0,0,0,0,39,34,
1536053258,0,0,0,0,0,0,39,32,
1536053258,0,0,0,0,0,0,39,32,
1536053258,0,0,0,0,0,0,39,33,
1536053258,0,0,0,0,0,0,39,33,
1536053269,0,0,0,0,0,0,39,34,
1536053274,0,0,0,0,0,0,39,33,
1536053274,0,0,0,0,0,0,39,33,
1536053280,0,0,0,0,0,0,39,32,
1536053280,0,0,0,0,0,0,39,32,
1536053285,0,0,0,0,0,0,39,32,
1536053291,0,0,0,0,0,0,39,34,
1536053291,0,0,0,0,0,0,39,34,
1536053296,0,0,0,0,0,0,39,32,
1536053296,0,0,0,0,0,0,39,32,
1536053302,0,0,0,0,0,0,39,34,
1536053307,0,0,0,0,0,0,39,25,
1536053307,0,0,0,0,0,0,39,25,
1536053312,0,0,0,0,0,0,39,25,
1536053312,0,0,0,0,0,0,39,25,
1536053318,0,0,0,0,0,0,39,33,
1536053323,0,0,0,0,0,0,39,34,
1536053323,0,0,0,0,0,0,39,34,
1536053323,0,0,0,0,0,0,39,33,
1536053323,0,0,0,0,0,0,39,33,
1536053329,0,0,0,0,0,0,39,33,
1536053334,0,0,0,0,0,0,39,34,
1536053334,0,0,0,0,0,0,39,34,
1536053340,0,0,0,0,0,0,39,33,
1536053340,0,0,0,0,0,0,39,33,
1536053345,0,0,0,0,0,0,39,34,
1536053351,0,0,0,0,0,0,39,25,
1536053351,0,0,0,0,0,0,39,25,
1536053356,0,0,0,0,0,0,39,32,
0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,39,35,
5,0,0,0,0,0,0,39,35,
5,0,0,0,0,0,0,39,35,
5,0,0,0,0,0,0,39,35,
1530844591,0,0,0,0,0,0,39,36,
1530844597,0,0,0,0,0,0,39,29,
1530844597,0,0,0,0,0,0,39,29,
1530844602,0,0,0,0,0,0,39,37,
1530844602,0,0,0,0,0,0,39,37,
1530844608,0,0,0,0,0,0,39,35,
1530844608,0,0,0,0,0,0,39,35,
1530844608,0,0,0,0,0,0,39,35,
1530844613,0,0,0,0,0,0,39,36,
1530844613,0,0,0,0,0,0,39,36,
1530844619,0,0,0,0,0,0,39,35,
1530844624,0,0,0,0,0,0,39,35,
1530844624,0,0,0,0,0,0,39,35,
1530844630,0,0,0,0,0,0,39,34,
1530844630,0,0,0,0,0,0,39,34,
1530844635,0,0,0,0,0,0,39,36,
1530844641,0,0,0,0,0,0,39,36,
1530844641,0,0,0,0,0,0,39,36,
1530844646,0,0,0,0,0,0,39,36,
1530844646,0,0,0,0,0,0,39,36,
1530844652,0,0,0,0,0,0,39,34,
1530844652,0,0,0,0,0,0,39,34,
1530844652,0,0,0,0,0,0,39,34,
1530844662,0,0,0,0,0,0,39,28,
1530844662,0,0,0,0,0,0,39,28,
1530844668,0,0,0,0,0,0,39,35,
1530844668,0,0,0,0,0,0,39,34,
1530844668,0,0,0,0,0,0,39,34,
1536066412,0,0,0,0,0,0,39,35,
1536066412,0,0,0,0,0,0,39,35,
1536066418,0,0,0,0,0,0,39,28,
1536066423,0,0,0,0,0,0,39,35,
1536066423,0,0,0,0,0,0,39,35,
1536066429,0,0,0,0,0,0,39,34,
1536066429,0,0,0,0,0,0,39,34,
1536066434,0,0,0,0,0,0,39,27,
1536066440,0,0,0,0,0,0,39,27,
1536066440,0,0,0,0,0,0,39,27,
1536066445,0,0,0,0,0,0,39,34,
1536066445,0,0,0,0,0,0,39,34,
1536066451,0,0,0,0,0,0,39,34,
1536066328,0,0,0,0,0,0,39,34,
1536066328,0,0,0,0,0,0,39,34,
1536066328,0,0,0,0,0,0,39,33,
1536066328,0,0,0,0,0,0,39,33,
1536066467,0,0,0,0,0,0,39,33,
1536066467,0,0,0,0,0,0,39,34,
1536066467,0,0,0,0,0,0,39,34,
1536066473,0,0,0,0,0,0,39,33,
1536066473,0,0,0,0,0,0,39,33,
1536066478,0,0,0,0,0,0,39,33,
1536066483,0,0,0,0,0,0,39,32,
1536066483,0,0,0,0,0,0,39,32,
1527645113,0,0,0,0,0,0,39,32,
1527645113,0,0,0,0,0,0,39,32,
1536066494,0,0,0,0,0,0,39,32,
1536066500,0,0,0,0,0,0,39,34,
1536066500,0,0,0,0,0,0,39,34,
1536066505,0,0,0,0,0,0,39,32,
1536066505,0,0,0,0,0,0,39,32,
1536066511,0,0,0,0,0,0,39,33,
1536066516,0,0,0,0,0,0,39,25,
1536066516,0,0,0,0,0,0,39,25,
1536066522,0,0,0,0,0,0,39,33,
1536066522,0,0,0,0,0,0,39,33,
1536066527,0,0,0,0,0,0,39,32,
1536066527,0,0,0,0,0,0,39,33,
1536066527,0,0,0,0,0,0,39,33,
1536066533,0,0,0,0,0,0,39,33,
1536066533,0,0,0,0,0,0,39,33,
1536066538,0,0,0,0,0,0,39,33,
1536066544,0,0,0,0,0,0,39,32,
1536066544,0,0,0,0,0,0,39,32,
1536066549,0,0,0,0,0,0,39,32,
1536066549,0,0,0,0,0,0,39,32,
1536066555,0,0,0,0,0,0,39,31,
1536066560,0,0,0,0,0,0,39,31,
1536066560,0,0,0,0,0,0,39,31,
1536066565,0,0,0,0,0,0,39,33,
1536066565,0,0,0,0,0,0,39,33,
1536066565,0,0,0,0,0,0,39,33,
1536066576,0,0,0,0,0,0,39,33,
1536066576,0,0,0,0,0,0,39,33,
1536066582,0,0,0,0,0,0,39,31,
1536066582,0,0,0,0,0,0,39,31,
1536066582,0,0,0,0,0,0,39,32,
1536066587,0,0,0,0,0,0,39,31,
1536066587,0,0,0,0,0,0,39,31,
1536066593,0,0,0,0,0,0,39,32,
1536066593,0,0,0,0,0,0,39,32,
1536066598,0,0,0,0,0,0,39,25,
1536066604,0,0,0,0,0,0,39,32,
1536066604,0,0,0,0,0,0,39,32,
1536066609,0,0,0,0,0,0,39,32,
1536066609,0,0,0,0,0,0,39,32,
1536066615,0,0,0,0,0,0,39,30,
1536066620,0,0,0,0,0,0,39,32,
1536066620,0,0,0,0,0,0,39,32,
1536066626,0,0,0,0,0,0,39,32,
1536066626,0,0,0,0,0,0,39,32,
1536066631,0,0,0,0,0,0,39,32,
1536066637,0,0,0,0,0,0,39,32,
1536066637,0,0,0,0,0,0,39,32,
1536066642,0,0,0,0,0,0,39,32,
1536066642,0,0,0,0,0,0,39,32,
1536066642,0,0,0,0,0,0,39,31,
1536066647,0,0,0,0,0,0,39,30,
1536066647,0,0,0,0,0,0,39,30,
1536066653,0,0,0,0,0,0,39,24,
1536066653,0,0,0,0,0,0,39,24,
1536066658,0,0,0,0,0,0,39,32,
1536066664,0,0,0,0,0,0,39,32,
1536066664,0,0,0,0,0,0,39,32,
1536066669,0,0,0,0,0,0,39,29,
1536066669,0,0,0,0,0,0,39,29,
1536066675,0,0,0,0,0,0,39,29,
1536066680,0,0,0,0,0,0,39,30,
1536066680,0,0,0,0,0,0,39,30,
1536066686,0,0,0,0,0,0,39,30,
1536066686,0,0,0,0,0,0,39,30,
1536066691,0,0,0,0,0,0,39,30,
1536066691,0,0,0,0,0,0,39,23,
1536066691,0,0,0,0,0,0,39,23,
1536066702,0,0,0,0,0,0,39,23,
1536066702,0,0,0,0,0,0,39,23,
1536066702,0,0,0,0,0,0,39,29,
1536066708,0,0,0,0,0,0,39,30,
1536066708,0,0,0,0,0,0,39,30,
1536066713,0,0,0,0,0,0,39,29,
1536066713,0,0,0,0,0,0,39,29,
1536066718,0,0,0,0,0,0,39,30,
1536066724,0,0,0,0,0,0,39,29,
1536066724,0,0,0,0,0,0,39,29,
1536066729,0,0,0,0,0,0,39,29,
1536066729,0,0,0,0,0,0,39,29,
1536066735,0,0,0,0,0,0,39,30,
1536066740,0,0,0,0,0,0,39,31,
